Character: H, Font: Arial, Color: Red, Size: 12
Character: e, Font: Arial, Color: Red, Size: 12
Character: l, Font: Calibri, Color: Blue, Size: 14
Character: l, Font: Verdana, Color: Black, Size: 16
Character: o, Font: Arial, Color: Red, Size: 12
Character: W, Font: Arial, Color: Red, Size: 12
Character: o, Font: Calibri, Color: Blue, Size: 14
Character: r, Font: Verdana, Color: Black, Size: 16
Character: l, Font: Arial, Color: Red, Size: 12
Character: d, Font: Arial, Color: Red, Size: 12
Character: C, Font: Arial, Color: Red, Size: 12
Character: S, Font: Calibri, Color: Blue, Size: 14
Character: 5, Font: Verdana, Color: Black, Size: 16
Character: 8, Font: Arial, Color: Red, Size: 12
Character: 0, Font: Arial, Color: Red, Size: 12
Character: 0, Font: Calibri, Color: Blue, Size: 14
